Detector CUDA experiment: train=10650 val=1332 size=960
Epoch 4/6 batch 2500/5325 loss=0.63998 elapsed=403.0s
Epoch 4/6 batch 2600/5325 loss=0.64162 elapsed=417.3s
Epoch 4/6 batch 2700/5325 loss=0.64198 elapsed=431.5s
Epoch 4/6 batch 2800/5325 loss=0.64264 elapsed=446.7s
Epoch 4/6 batch 2900/5325 loss=0.64424 elapsed=462.0s
Epoch 4/6 batch 3000/5325 loss=0.64501 elapsed=477.1s
Epoch 4/6 batch 3100/5325 loss=0.64265 elapsed=492.1s
Epoch 4/6 batch 3200/5325 loss=0.64225 elapsed=507.1s
Epoch 4/6 batch 3300/5325 loss=0.64289 elapsed=520.9s
Epoch 4/6 batch 3400/5325 loss=0.64416 elapsed=535.4s
Epoch 4/6 batch 3500/5325 loss=0.64388 elapsed=549.6s
Epoch 4/6 batch 3600/5325 loss=0.64486 elapsed=563.7s
Epoch 4/6 batch 3700/5325 loss=0.64424 elapsed=577.7s
Epoch 4/6 batch 3800/5325 loss=0.64381 elapsed=591.8s
Epoch 4/6 batch 3900/5325 loss=0.64306 elapsed=605.5s
Epoch 4/6 batch 4000/5325 loss=0.64396 elapsed=620.1s
Epoch 4/6 batch 4100/5325 loss=0.64472 elapsed=635.6s
Epoch 4/6 batch 4200/5325 loss=0.64350 elapsed=650.8s
Epoch 4/6 batch 4300/5325 loss=0.64372 elapsed=665.8s
Epoch 4/6 batch 4400/5325 loss=0.64338 elapsed=681.6s
Epoch 4/6 batch 4500/5325 loss=0.64317 elapsed=696.9s
Epoch 4/6 batch 4600/5325 loss=0.64267 elapsed=712.6s
Epoch 4/6 batch 4700/5325 loss=0.64256 elapsed=727.7s
Epoch 4/6 batch 4800/5325 loss=0.64163 elapsed=742.7s
Epoch 4/6 batch 4900/5325 loss=0.64205 elapsed=758.5s
Epoch 4/6 batch 5000/5325 loss=0.64291 elapsed=773.7s
Epoch 4/6 batch 5100/5325 loss=0.64266 elapsed=788.6s
Epoch 4/6 batch 5200/5325 loss=0.64357 elapsed=803.7s
Epoch 4/6 batch 5300/5325 loss=0.64269 elapsed=818.7s
{"epoch": 4, "train_loss": 0.6428679283777418, "images": 1332, "threshold": 0.4099999999999998, "exact_count_accuracy": 0.29429429429429427, "within_one_accuracy": 0.4512012012012012, "mean_absolute_error": 7.944444444444445, "root_mean_squared_error": 22.71093980412935, "mean_signed_error": -2.93993993993994, "total_true": 206171, "total_predicted": 202255, "seconds": 915.1837885999994}
